checkout_id,checkout_date,room_number,floor,room_type,guest_checkout_time,room_cleared_time,minutes_to_clear,checkout_hour_bucket,cleared_within_60min
C001,2024-01-01,301,3,Standard Double,09:45,10:20,35,09:00-10:00,Yes
C002,2024-01-01,302,3,Standard Double,10:05,10:42,37,10:00-11:00,Yes
C003,2024-01-01,303,3,Deluxe King,10:15,11:02,47,10:00-11:00,Yes
C004,2024-01-01,304,3,Standard Double,11:30,12:00,30,11:00-12:00,Yes
C005,2024-01-01,305,3,Standard Double,11:45,12:14,29,11:00-12:00,Yes
C006,2024-01-01,701,7,Suite,09:30,10:40,70,09:00-10:00,No
C007,2024-01-01,702,7,Deluxe King,09:45,10:37,52,09:00-10:00,Yes
C008,2024-01-01,703,7,Deluxe King,10:00,10:52,52,10:00-11:00,Yes
C009,2024-01-01,704,7,Suite,10:10,11:27,77,10:00-11:00,No
C010,2024-01-01,705,7,Standard Double,11:20,11:50,30,11:00-12:00,Yes
C011,2024-01-01,101,1,Standard Double,10:20,10:52,32,10:00-11:00,Yes
C012,2024-01-01,102,1,Standard Double,10:35,11:06,31,10:00-11:00,Yes
C013,2024-01-01,103,1,Standard Double,11:10,11:36,26,11:00-12:00,Yes
C014,2024-01-01,104,1,Standard Double,11:30,11:56,26,11:00-12:00,Yes
C015,2024-01-01,201,2,Standard Double,10:10,10:42,32,10:00-11:00,Yes
C016,2024-01-01,202,2,Standard Double,10:25,10:57,32,10:00-11:00,Yes
C017,2024-01-01,501,5,Deluxe King,09:40,10:30,50,09:00-10:00,Yes
C018,2024-01-01,502,5,Deluxe King,09:55,10:47,52,09:00-10:00,Yes
C019,2024-01-01,503,5,Deluxe King,10:05,10:57,52,10:00-11:00,Yes
C020,2024-01-01,504,5,Suite,10:15,11:32,77,10:00-11:00,No
C021,2024-01-01,601,6,Standard Double,10:00,10:33,33,10:00-11:00,Yes
C022,2024-01-01,602,6,Standard Double,10:15,10:47,32,10:00-11:00,Yes
C023,2024-01-05,301,3,Standard Double,09:30,10:06,36,09:00-10:00,Yes
C024,2024-01-05,302,3,Standard Double,09:45,10:23,38,09:00-10:00,Yes
C025,2024-01-05,303,3,Deluxe King,10:00,10:50,50,10:00-11:00,Yes
C026,2024-01-05,304,3,Standard Double,10:10,10:47,37,10:00-11:00,Yes
C027,2024-01-05,305,3,Standard Double,10:20,10:59,39,10:00-11:00,Yes
C028,2024-01-05,701,7,Suite,09:15,10:30,75,09:00-10:00,No
C029,2024-01-05,702,7,Suite,09:30,10:49,79,09:00-10:00,No
C030,2024-01-05,703,7,Deluxe King,09:45,10:40,55,09:00-10:00,Yes
C031,2024-01-05,704,7,Deluxe King,10:00,10:57,57,10:00-11:00,Yes
C032,2024-01-05,705,7,Suite,10:05,11:27,82,10:00-11:00,No
C033,2024-01-05,101,1,Standard Double,10:15,10:48,33,10:00-11:00,Yes
C034,2024-01-05,102,1,Standard Double,10:30,11:02,32,10:00-11:00,Yes
C035,2024-01-05,103,1,Standard Double,11:05,11:30,25,11:00-12:00,Yes
C036,2024-01-05,104,1,Standard Double,11:25,11:50,25,11:00-12:00,Yes
C037,2024-01-05,501,5,Deluxe King,09:20,10:13,53,09:00-10:00,Yes
C038,2024-01-05,502,5,Suite,09:35,10:59,84,09:00-10:00,No
C039,2024-01-05,503,5,Deluxe King,09:50,10:47,57,09:00-10:00,Yes
C040,2024-01-05,504,5,Suite,10:00,11:27,87,10:00-11:00,No
C041,2024-01-05,505,5,Standard Double,10:30,11:10,40,10:00-11:00,Yes
C042,2024-01-08,301,3,Standard Double,09:40,10:16,36,09:00-10:00,Yes
C043,2024-01-08,302,3,Standard Double,10:00,10:38,38,10:00-11:00,Yes
C044,2024-01-08,303,3,Deluxe King,10:10,11:00,50,10:00-11:00,Yes
C045,2024-01-08,701,7,Suite,09:20,10:35,75,09:00-10:00,No
C046,2024-01-08,702,7,Suite,09:35,10:54,79,09:00-10:00,No
C047,2024-01-08,703,7,Deluxe King,09:50,10:45,55,09:00-10:00,Yes
