status_id,log_date,room_number,floor,room_type,checkout_time,cleaning_start_time,cleaning_end_time,room_ready_time,checkin_requested_time,ready_before_checkin,delay_minutes,sla_met
RS001,2024-01-01,301,3,Standard Double,09:45,09:50,10:20,10:22,13:00,Yes,0,Yes
RS002,2024-01-01,302,3,Standard Double,10:05,10:08,10:42,10:44,14:00,Yes,0,Yes
RS003,2024-01-01,303,3,Deluxe King,10:15,10:18,11:02,11:05,12:00,Yes,0,Yes
RS004,2024-01-01,304,3,Standard Double,11:30,11:33,12:00,12:02,14:00,Yes,0,Yes
RS005,2024-01-01,701,7,Suite,09:30,09:35,10:40,10:43,11:00,No,43,No
RS006,2024-01-01,702,7,Deluxe King,09:45,09:50,10:37,10:40,12:00,Yes,0,Yes
RS007,2024-01-01,703,7,Deluxe King,10:00,10:05,10:52,10:55,11:00,No,55,No
RS008,2024-01-01,704,7,Suite,10:10,10:15,11:27,11:30,12:00,Yes,0,Yes
RS009,2024-01-01,705,7,Standard Double,11:20,11:23,11:50,11:52,14:00,Yes,0,Yes
RS010,2024-01-01,101,1,Standard Double,10:20,10:24,10:52,10:54,13:00,Yes,0,Yes
RS011,2024-01-01,102,1,Standard Double,10:35,10:39,11:06,11:08,14:00,Yes,0,Yes
RS012,2024-01-01,103,1,Standard Double,11:10,11:14,11:36,11:38,14:00,Yes,0,Yes
RS013,2024-01-01,104,1,Standard Double,11:30,11:34,11:56,11:58,14:00,Yes,0,Yes
RS014,2024-01-01,201,2,Standard Double,10:10,10:14,10:42,10:44,13:00,Yes,0,Yes
RS015,2024-01-01,202,2,Standard Double,10:25,10:29,10:57,10:59,13:30,Yes,0,Yes
RS016,2024-01-01,501,5,Deluxe King,09:40,09:45,10:30,10:33,11:00,No,33,No
RS017,2024-01-01,502,5,Deluxe King,09:55,10:00,10:47,10:50,11:00,No,50,No
RS018,2024-01-01,503,5,Deluxe King,10:05,10:10,10:57,11:00,12:00,Yes,0,Yes
RS019,2024-01-01,504,5,Suite,10:15,10:20,11:32,11:35,12:00,Yes,0,Yes
RS020,2024-01-01,601,6,Standard Double,10:00,10:04,10:33,10:35,13:00,Yes,0,Yes
RS021,2024-01-01,602,6,Standard Double,10:15,10:19,10:47,10:49,13:00,Yes,0,Yes
RS022,2024-01-05,301,3,Standard Double,09:30,09:35,10:06,10:08,13:00,Yes,0,Yes
RS023,2024-01-05,302,3,Standard Double,09:45,09:50,10:23,10:25,13:00,Yes,0,Yes
RS024,2024-01-05,303,3,Deluxe King,10:00,10:05,10:50,10:53,12:00,Yes,0,Yes
RS025,2024-01-05,304,3,Standard Double,10:10,10:15,10:47,10:49,12:30,Yes,0,Yes
RS026,2024-01-05,305,3,Standard Double,10:20,10:25,10:59,11:01,13:00,Yes,0,Yes
RS027,2024-01-05,701,7,Suite,09:15,09:20,10:30,10:33,11:00,No,33,No
RS028,2024-01-05,702,7,Suite,09:30,09:35,10:49,10:52,11:00,No,52,No
RS029,2024-01-05,703,7,Deluxe King,09:45,09:50,10:40,10:43,12:00,Yes,0,Yes
RS030,2024-01-05,704,7,Deluxe King,10:00,10:05,10:57,11:00,12:00,Yes,0,Yes
RS031,2024-01-05,705,7,Suite,10:05,10:10,11:27,11:30,12:00,Yes,0,Yes
